2021-11-25 11:55:52.527 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 479 ms
2021-11-25 11:55:52.834 [main] INFO  s.cloud.core.ribbon.config.RibbonConfiguration - 随机负载均衡
2021-11-25 11:55:52.840 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-25 11:55:52.840 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-11-25 11:55:52.842 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-25 11:55:52.842 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-11-25 11:55:52.900 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-25 11:55:52.950 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2021-11-25 11:55:53.041 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-11-25 11:55:53.095 [main] INFO  io.undertow - starting server: Undertow - 2.0.28.Final
2021-11-25 11:55:53.098 [main] INFO  org.xnio - XNIO version 3.3.8.Final
2021-11-25 11:55:53.102 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.3.8.Final
2021-11-25 11:55:53.134 [main] INFO  o.s.b.w.embedded.undertow.UndertowServletWebServer - Undertow started on port(s) 3001 (http) with context path '/service-order'
2021-11-25 11:55:53.196 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sample-cloud-service-order 192.168.0.21:3001 register finished
2021-11-25 11:55:53.199 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - Started ServiceOrderApplication in 1.882 seconds (JVM running for 2.25)
2021-11-25 11:55:53.702 [RMI TCP Connection(1)-127.0.0.1] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-25 11:55:53.702 [RMI TCP Connection(1)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-11-25 11:55:53.706 [RMI TCP Connection(1)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2021-11-25 11:57:44.012 [Thread-13] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2021-11-25 11:57:44.030 [Thread-13] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2021-11-25 11:57:44.031 [Thread-13] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-25 11:57:44.036 [Thread-13] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2021-11-25 11:57:44.037 [Thread-13] INFO  io.undertow - stopping server: Undertow - 2.0.28.Final
